Timestamp,xdk_id,Humidity,Pressure,Temperature,Light,Noise
2022-11-28 17:14:03,2,25,95924,27.171,250,37.309582
2022-11-28 17:14:08,2,25,95914,27.171,250,36.590649
2022-11-28 17:14:13,2,25,95920,27.181,250,34.084476
2022-11-28 17:14:19,2,25,95918,27.191,250,41.358536
2022-11-28 17:14:24,2,25,95920,27.191,250,49.313797
2022-11-28 17:14:30,2,25,95915,27.201,250,48.139992
2022-11-28 17:14:35,2,25,95921,27.201,250,46.09309
2022-11-28 17:14:40,2,25,95915,27.201,250,52.105442
2022-11-28 17:14:46,2,25,95922,27.201,250,50.888527
2022-11-28 17:14:51,2,25,95919,27.211,247,50.242508
2022-11-28 17:14:57,2,25,95922,27.211,247,52.258945
2022-11-28 17:15:02,2,25,95920,27.211,247,54.345726
2022-11-28 17:15:08,2,25,95921,27.211,247,51.175716
2022-11-28 17:15:13,2,24,95918,27.211,247,55.331551
2022-11-28 17:15:18,2,24,95915,27.211,247,51.630699
2022-11-28 17:15:24,2,24,95918,27.211,247,51.971573
2022-11-28 17:15:29,2,24,95916,27.211,247,52.190151
2022-11-28 17:15:35,2,24,95922,27.211,247,51.133217
2022-11-28 17:15:40,2,24,95917,27.201,247,45.023689
2022-11-28 17:15:45,2,24,95925,27.201,247,53.22678
2022-11-28 17:15:51,2,24,95921,27.201,247,59.028461
2022-11-28 17:15:56,2,24,95912,27.201,247,56.445599
2022-11-28 17:16:02,2,24,95918,27.201,247,38.536121
2022-11-28 17:16:07,2,24,95922,27.201,247,55.884029
2022-11-28 17:16:12,2,24,95920,27.191,247,54.439747
2022-11-28 17:16:18,2,24,95916,27.201,247,53.42514
2022-11-28 17:16:23,2,24,95920,27.211,244,49.909096
2022-11-28 17:16:29,2,24,95917,27.211,244,58.152859
2022-11-28 17:16:34,2,24,95918,27.211,244,52.979237
2022-11-28 17:16:40,2,24,95919,27.201,244,59.209106
2022-11-28 17:16:45,2,24,95920,27.221,244,52.46526
2022-11-28 17:16:50,2,24,95923,27.211,244,50.013565
2022-11-28 17:16:56,2,25,95922,27.211,247,52.650967
2022-11-28 17:17:01,2,25,95920,27.211,247,56.911064
2022-11-28 17:17:07,2,25,95922,27.211,247,57.507797
2022-11-28 17:17:12,2,25,95925,27.211,244,46.685535
2022-11-28 17:17:18,2,25,95923,27.191,244,58.329102
2022-11-28 17:17:23,2,25,95924,27.191,247,54.02626
2022-11-28 17:17:28,2,24,95918,27.181,247,56.422596
2022-11-28 17:17:34,2,25,95923,27.171,247,36.859417
2022-11-28 17:17:39,2,25,95928,27.161,244,34.796898
2022-11-28 17:17:45,2,25,95923,27.151,247,40.358246
2022-11-28 17:17:50,2,25,95923,27.151,247,37.951439
2022-11-28 17:17:56,2,25,95925,27.151,244,38.055573
2022-11-28 17:18:01,2,25,95924,27.151,244,38.164993
2022-11-28 17:18:07,2,25,95921,27.161,244,39.171745
2022-11-28 17:18:12,2,24,95924,27.151,244,36.292286
2022-11-28 17:20:32,2,25,95921,27.151,362,38.614765
2022-11-28 17:20:37,2,25,95924,27.181,313,35.919147
2022-11-28 17:20:43,2,25,95920,27.161,933,38.198818
2022-11-28 17:20:48,2,25,95927,27.171,887,39.872322
2022-11-28 17:20:53,2,25,95924,27.161,817,40.535309
2022-11-28 17:20:58,2,25,95923,27.171,806,41.065079
2022-11-28 17:21:04,2,25,95921,27.161,817,38.77462
2022-11-28 17:21:09,2,25,95921,27.161,846,39.074566
2022-11-28 17:21:14,2,25,95920,27.161,829,39.898289
2022-11-28 17:21:19,2,25,95924,27.161,829,36.860458
2022-11-28 17:21:25,2,25,95922,27.161,852,40.300102
2022-11-28 17:21:30,2,25,95924,27.171,8064,39.118164
2022-11-28 17:21:35,2,25,95922,27.191,7833,36.962429
2022-11-28 17:21:41,2,25,95923,27.191,241,36.877102
2022-11-28 17:21:46,2,25,95920,27.191,241,36.11282
2022-11-28 17:21:51,2,25,95917,27.191,241,36.819618
2022-11-28 17:21:56,2,25,95918,27.191,708,38.41687
2022-11-28 17:22:01,2,25,95920,27.191,241,66.253944
2022-11-28 17:22:07,2,25,95922,27.191,241,54.694576
2022-11-28 17:22:12,2,25,95923,27.201,239,71.436546
2022-11-28 17:22:17,2,25,95921,27.191,239,56.050499
2022-11-28 17:22:22,2,25,95918,27.191,241,69.204735
2022-11-28 17:22:28,2,25,95920,27.201,239,69.61364
2022-11-28 17:22:33,2,25,95924,27.201,239,69.569611
2022-11-28 17:22:38,2,24,95922,27.221,241,66.896973
2022-11-28 17:22:44,2,24,95920,27.221,241,72.577019
2022-11-28 17:22:49,2,24,95920,27.221,241,78.243217
2022-11-28 17:22:55,2,24,95921,27.221,239,73.15789
2022-11-28 17:23:00,2,24,95922,27.231,239,59.67445
2022-11-28 17:23:05,2,24,95925,27.241,239,76.027222
2022-11-28 17:23:10,2,24,95922,27.261,239,71.253334
2022-11-28 17:23:16,2,24,95920,27.271,239,46.701893
2022-11-28 17:23:21,2,24,95922,27.281,239,70.054306
2022-11-28 17:23:26,2,24,95923,27.311,241,76.122055
2022-11-28 17:23:31,2,24,95917,27.311,239,69.875145
2022-11-28 17:23:37,2,24,95920,27.331,241,36.215588
2022-11-28 17:23:42,2,24,95922,27.341,241,36.454342
2022-11-28 17:23:47,2,24,95925,27.361,239,37.030109
2022-11-28 17:23:52,2,24,95925,27.381,239,38.222496
2022-11-28 17:23:58,2,24,95924,27.391,241,34.982288
2022-11-28 17:24:03,2,24,95922,27.401,241,36.993877
2022-11-28 17:24:08,2,24,95922,27.401,239,36.434845
2022-11-28 17:24:14,2,24,95924,27.421,241,40.213326
2022-11-28 17:24:19,2,24,95922,27.421,241,37.326466
2022-11-28 17:24:24,2,24,95921,27.431,239,38.010223
2022-11-28 17:24:30,2,24,95924,27.451,239,36.332485
2022-11-28 17:24:35,2,24,95923,27.471,241,36.137508
2022-11-28 17:24:40,2,24,95925,27.481,239,37.714016
2022-11-28 17:24:45,2,24,95924,27.501,239,36.713116
2022-11-28 17:24:51,2,24,95923,27.511,239,34.487797
2022-11-28 17:24:56,2,24,95918,27.541,241,37.235649
2022-11-28 17:25:01,2,24,95923,27.561,241,37.35725
2022-11-28 17:25:07,2,24,95924,27.581,239,41.57291
2022-11-28 17:25:12,2,24,95922,27.601,239,44.461079
2022-11-28 17:25:17,2,24,95919,27.621,241,44.808449
2022-11-28 17:25:22,2,24,95915,27.641,241,44.859798
2022-11-28 17:25:28,2,24,95921,27.651,239,37.353531
2022-11-28 17:25:33,2,24,95925,27.671,239,36.556133
2022-11-28 17:25:38,2,24,95922,27.671,241,37.044117
2022-11-28 17:25:43,2,24,95924,27.671,239,37.455593
2022-11-28 17:25:49,2,24,95922,27.701,239,35.973179
2022-11-28 17:25:54,2,24,95924,27.691,241,35.133801
2022-11-28 17:25:59,2,24,95921,27.701,239,38.273979
2022-11-28 17:26:05,2,24,95922,27.701,239,35.90099
2022-11-28 17:26:10,2,24,95921,27.701,241,36.865665
2022-11-28 17:26:15,2,24,95921,27.701,239,37.887741
2022-11-28 17:26:21,2,24,95926,27.711,241,37.114479
2022-11-28 17:26:26,2,24,95921,27.711,239,37.572151
2022-11-28 17:26:31,2,24,95924,27.711,241,36.480583
2022-11-28 17:26:37,2,24,95921,27.711,241,36.810139
2022-11-28 17:26:42,2,24,95922,27.711,241,35.470913
2022-11-28 17:26:47,2,24,95923,27.711,241,35.937233
2022-11-28 17:26:52,2,24,95926,27.701,239,38.398624
2022-11-28 17:26:58,2,24,95921,27.691,241,36.270851
2022-11-28 17:27:03,2,24,95925,27.691,239,46.329662
2022-11-28 17:27:08,2,24,95924,27.701,241,37.193382
2022-11-28 17:27:14,2,24,95923,27.701,241,36.955299
2022-11-28 17:27:19,2,24,95924,27.691,239,37.354462
2022-11-28 17:27:24,2,24,95923,27.691,241,37.511574
2022-11-28 17:27:30,2,24,95924,27.701,239,37.455593
2022-11-28 17:27:35,2,24,95924,27.691,239,35.917854
2022-11-28 17:27:40,2,24,95922,27.701,241,34.60849
2022-11-28 17:27:46,2,24,95921,27.701,239,37.319908
2022-11-28 17:27:51,2,24,95930,27.701,239,37.581875
2022-11-28 17:27:56,2,24,95924,27.691,241,36.483994
2022-11-28 17:28:01,2,24,95925,27.691,239,36.332485
2022-11-28 17:28:07,2,24,95925,27.691,239,41.074177
2022-11-28 17:28:12,2,24,95923,27.681,241,35.443558
2022-11-28 17:28:17,2,24,95928,27.671,239,37.6632
