timestamp,daytime,discrepancy_in_user_confirmation_time,discrepancy_in_minutes,noise,light,activity,location
_07_08_2021T2100,night,-0:25:56.801110,-25.94668516666667,70.65703125,13.68,resting,indoors
_07_08_2021T1700,evening,+0:31:34.895202,31.5815867,67.84776438,13.77,resting,indoors
_07_08_2021T1300,noon,+0:23:32.127519,23.53545865,62.92733973,14.13,resting,indoors
_06_08_2021T2100,night,-0:24:39.327855,-24.65546425,62.76155247,14.31,resting,indoors
_06_08_2021T1700,evening,+1:05:37.225875,65.62043125,67.74170931,14.22,resting,indoors
_06_08_2021T1300,noon,+1:19:02.172307,79.03620511666666,62.14528275,14.22,resting,indoors
_06_08_2021T0800,morning,-0:04:30.373867,-4.506231116666667,63.64532854,14.04,resting,indoors
_05_08_2021T2100,night,+0:17:33.752158,17.562535966666665,72.33767420000001,14.22,resting,indoors
_05_08_2021T1700,evening,+1:47:31.840564,107.53067606666667,68.8200113,14.22,resting,indoors
_05_08_2021T1300,noon,-0:25:06.858821,-25.114313683333332,60.99217426,14.13,resting,indoors
_05_08_2021T0800,morning,+0:20:59.346229,20.989103816666667,58.39350091,7.47,resting,indoors
_04_08_2021T2100,night,-0:17:04.341478,-17.07235796666667,60.99217426,7.38,resting,indoors
_04_08_2021T1700,evening,not_opened,270.0,59.86798122,7.38,resting,indoors
_04_08_2021T1300,noon,-0:43:33.190576,-43.55317626666667,63.330892500000004,7.605,resting,indoors
_04_08_2021T0800,morning,-0:11:01.594693,-11.026578216666667,59.41770883,7.47,resting,indoors
_03_08_2021T2100,night,not_opened,270.0,66.63489906,7.515,resting,indoors
_03_08_2021T1700,evening,not_opened,270.0,62.04679891,7.83,resting,indoors
_03_08_2021T1300,noon,not_opened,270.0,62.795224100000006,11.43,resting,indoors
_03_08_2021T0800,morning,-0:09:57.699956,-9.961665933333334,66.18271528,11.97,resting,indoors
_02_08_2021T2100,night,not_opened,270.0,64.83223424,14.22,resting,indoors
_02_08_2021T1700,evening,+1:54:19.327511,114.32212518333334,82.37328577,14.22,resting,indoors
_02_08_2021T1300,noon,+1:39:15.019456,99.25032426666667,72.56626668,13.77,resting,indoors
_01_08_2021T2100,night,-0:27:26.834641,-27.447244016666666,59.344099,13.86,resting,indoors
_01_08_2021T1700,evening,not_opened,270.0,78.10065149,14.22,resting,indoors
_01_08_2021T1300,noon,not_opened,270.0,66.79803567,14.31,resting,indoors
_01_08_2021T0800,morning,not_opened,270.0,64.70448567,14.22,resting,indoors
_31_07_2021T2100,night,+0:28:56.020556,28.933675933333333,62.65895989999999,14.22,resting,indoors
_31_07_2021T1700,evening,-0:30:56.827952,-30.947132533333335,65.47464227,14.31,resting,indoors
_31_07_2021T1300,noon,+0:01:11.877190,1.1979531666666667,61.35736239999999,13.86,resting,indoors
_31_07_2021T0800,morning,-0:05:36.038925,-5.60064875,80.55825638,14.22,resting,indoors
_30_07_2021T2100,night,not_opened,270.0,59.4900782,14.22,resting,indoors
_30_07_2021T1700,evening,not_opened,270.0,64.13996977,14.22,resting,indoors
_30_07_2021T1300,noon,+0:13:29.214893,13.486914883333332,79.88666478,14.22,resting,indoors
_30_07_2021T0800,morning,not_opened,270.0,71.18589732,13.86,resting,indoors
_29_07_2021T2100,night,-0:11:51.680887,-11.861348116666667,68.48040464,13.95,resting,indoors
_29_07_2021T1700,evening,+1:02:51.868162,62.86446936666667,83.88132119,14.22,resting,indoors
_29_07_2021T1300,noon,+0:51:00.225962,51.003766033333335,60.2156005,13.95,resting,indoors
_29_07_2021T0800,morning,not_opened,270.0,64.46007121,13.5,resting,indoors
_28_07_2021T2100,night,+0:00:32.223691,0.5370615166666667,63.44788271,14.04,resting,indoors
_28_07_2021T1700,evening,+0:11:58.464995,11.974416583333333,58.2046447,14.22,resting,indoors
_28_07_2021T1300,noon,+1:44:33.075043,104.55125071666666,74.78899812,14.13,resting,indoors
_28_07_2021T0800,morning,-0:10:03.272129,-10.054535483333332,60.67620799,14.13,resting,indoors
_27_07_2021T2100,night,-0:06:10.906612,-6.181776866666667,67.41863007,13.86,resting,indoors
_27_07_2021T1700,evening,+1:10:28.593622,70.47656036666667,88.37697772,14.04,resting,indoors
_27_07_2021T1300,noon,+2:01:08.821106,121.14701843333334,71.62009429999999,13.95,resting,indoors
_27_07_2021T0800,morning,-0:14:13.768520,-14.229475333333333,61.58477475,14.04,resting,indoors
_26_07_2021T2100,night,+0:04:04.750227,4.07917045,60.48065947,14.04,resting,indoors
_26_07_2021T1700,evening,not_opened,270.0,68.83256108,13.86,resting,indoors
_26_07_2021T1300,noon,+2:01:14.274339,121.23790564999999,80.04620668,13.95,resting,indoors
_25_07_2021T2100,night,not_opened,270.0,79.00852606,13.77,resting,indoors
_25_07_2021T1700,evening,not_opened,270.0,78.7144796,13.86,resting,indoors
_25_07_2021T1300,noon,-0:19:59.617280,-19.993621333333333,80.13031407,13.77,resting,indoors
_25_07_2021T0800,morning,-0:08:17.610794,-8.293513233333334,86.23564515,13.14,resting,indoors
_24_07_2021T2100,night,-0:06:58.218480,-6.970308,77.50109878,13.86,resting,indoors
_24_07_2021T1700,evening,+0:17:34.709610,17.5784935,72.95491788,13.77,resting,indoors
_24_07_2021T1300,noon,+1:30:29.621028,90.4936838,71.25816125,14.31,resting,indoors
